8576,0.27,-0.74,0.57,0.44,-11.26,-20.04,NAN
9659,0.26,-0.75,0.57,0.26,-12.05,-19.93,NAN
10734,0.27,-0.74,0.56,0.59,-11.62,-19.85,NAN
11809,0.27,-0.74,0.57,0.48,-11.61,-19.55,NAN
12886,0.27,-0.75,0.57,0.64,-11.51,-19.01,NAN
13961,0.26,-0.74,0.57,1.00,-11.73,-19.03,NAN
15036,0.26,-0.75,0.56,1.08,-12.02,-18.75,NAN
16112,0.28,-0.75,0.59,13.60,-6.58,-26.90,NAN
17187,0.25,-0.75,0.57,14.28,-4.94,-23.68,rash_driving
18263,0.24,-0.75,0.58,14.65,-5.13,-24.18,rash_driving
19339,0.25,-0.74,0.57,14.46,-5.25,-23.97,NAN
20417,0.24,-0.75,0.58,14.71,-5.40,-24.12,rash_driving
21493,0.24,-0.75,0.56,14.55,-5.13,-23.88,rash_driving
22568,0.24,-0.75,0.57,14.82,-5.37,-23.87,NAN
23644,0.24,-0.75,0.57,14.50,-4.90,-22.89,NAN
24719,0.25,-0.74,0.57,14.41,-4.52,-22.70,normal_driving
25795,0.24,-0.75,0.58,14.43,-4.43,-22.22,normal_driving
26870,0.25,-0.75,0.57,14.39,-4.39,-22.13,NAN
27959,0.24,-0.74,0.57,14.96,-4.42,-21.90,NAN
29046,0.23,-0.74,0.57,15.24,-4.40,-22.09,NAN
30121,0.24,-0.74,0.57,15.82,-4.07,-22.26,rash_driving
31200,0.25,-0.74,0.59,14.22,-5.74,-21.67,rash_driving
32276,0.26,-0.75,0.57,13.40,-5.08,-21.62,NAN
33351,0.27,-0.75,0.56,13.16,-4.81,-21.74,NAN
Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Annotation
