8577,0.29,-0.74,0.57,0.36,-1.65,-0.04,rash_turn
9660,0.29,-0.74,0.57,0.22,-1.78,0.17,rash_turn
10735,0.29,-0.74,0.55,0.37,-1.81,0.23,rash_turn
11810,0.29,-0.74,0.56,0.31,-1.92,0.37,rash_turn
12887,0.29,-0.74,0.56,0.49,-2.06,0.10,rash_turn
13962,0.29,-0.74,0.56,0.73,-2.69,-0.30,rash_turn
15037,0.30,-0.75,0.54,0.27,-2.03,2.16,rash_turn
16112,0.27,-0.75,0.56,-0.36,-3.41,2.69,rash_turn
17188,0.27,-0.79,0.56,-2.74,-1.28,1.03,rash_turn
18264,0.29,-0.76,0.55,-5.09,-2.39,0.83,rash_turn
19339,0.27,-0.75,0.55,-5.34,-1.65,0.13,rash_turn
20443,0.29,-0.75,0.55,-5.43,-0.92,-0.11,rash_turn
21518,0.27,-0.73,0.53,-6.83,-0.78,1.26,rash_turn
22593,0.30,-0.75,0.54,-7.23,-0.98,0.88,rash_turn
23669,0.29,-0.76,0.55,-7.15,-1.05,0.74,rash_turn
24744,0.29,-0.76,0.54,-7.25,-1.61,0.59,rash_turn
25820,0.28,-0.76,0.54,-7.17,-3.06,0.78,rash_turn
26896,0.31,-0.76,0.54,-5.71,-3.26,0.46,rash_turn
27971,0.28,-0.76,0.54,-4.55,-5.84,-0.15,rash_turn
29046,0.31,-0.75,0.55,-4.57,-6.22,-0.16,rash_turn
30123,0.31,-0.74,0.55,-4.79,-5.95,-0.13,rash_turn
31202,0.32,-0.75,0.55,-5.04,-8.05,-1.65,rash_turn
32277,0.31,-0.75,0.55,-5.27,-7.29,-1.11,rash_turn
33352,0.30,-0.75,0.55,-5.34,-6.81,-1.13,rash_turn
34428,0.30,-0.75,0.55,-5.00,-6.80,-2.03,rash_turn
35504,0.28,-0.76,0.56,-5.04,-9.69,-2.92,rash_turn
36580,0.29,-0.75,0.56,-4.65,-7.42,-2.71,rash_turn
37655,0.29,-0.75,0.55,-4.88,-7.15,-2.54,rash_turn
38730,0.29,-0.75,0.55,-4.64,-7.36,-2.31,rash_turn
39806,0.28,-0.75,0.55,-4.56,-7.32,-2.30,rash_turn
40882,0.28,-0.75,0.56,-4.60,-7.48,-2.29,rash_turn
41961,0.29,-0.75,0.55,-4.82,-7.26,-2.28,rash_turn
43036,0.28,-0.76,0.54,-4.79,-6.93,-2.45,rash_turn
44112,0.28,-0.75,0.55,-4.76,-7.20,-2.54,rash_turn
45188,0.28,-0.75,0.55,-4.84,-7.34,-2.28,rash_turn
46264,0.29,-0.75,0.55,-4.83,-7.19,-2.27,rash_turn
47339,0.30,-0.75,0.55,-4.79,-7.07,-2.47,rash_turn
48414,0.29,-0.75,0.56,-5.15,-5.97,-1.99,rash_turn
49490,0.28,-0.74,0.55,-4.99,-5.78,-2.02,rash_turn
50566,0.29,-0.74,0.56,-4.72,-5.84,-1.82,rash_turn
51642,0.29,-0.75,0.54,-4.51,-6.76,-2.46,rash_turn
52720,0.24,-0.76,0.55,-3.13,-8.43,-4.00,rash_turn
53796,0.30,-0.75,0.56,-3.11,-8.29,-3.59,rash_turn
54872,0.31,-0.72,0.55,-4.12,-5.37,-1.43,rash_turn
55948,0.30,-0.75,0.56,-4.06,-5.86,-1.28,rash_turn
57023,0.30,-0.75,0.57,-3.78,-5.74,-1.48,rash_turn
58098,0.29,-0.74,0.56,-3.98,-5.76,-1.47,rash_turn
59174,0.30,-0.75,0.55,-4.05,-5.81,-1.39,rash_turn
Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Annotation
