12046,0.36,-0.10,0.88,-9.16,-33.25,2.33,NAN
12084,0.38,-0.11,0.89,-9.16,-33.30,2.44,NAN
12122,0.38,-0.09,0.87,-8.95,-33.65,2.34,NAN
12160,0.41,-0.12,0.85,-8.75,-33.89,2.36,NAN
12197,0.41,-0.09,0.84,-8.65,-33.92,2.52,NAN
12234,0.37,-0.10,0.86,-8.77,-34.09,2.45,NAN
12272,0.39,-0.10,0.87,-8.89,-34.09,2.22,NAN
12310,0.41,-0.09,0.85,-9.11,-33.98,2.20,NAN
12348,0.38,-0.11,0.88,-9.36,-33.78,2.30,NAN
12386,0.37,-0.08,0.84,-9.61,-33.49,2.44,NAN
12438,0.32,-0.12,0.90,-10.11,-33.62,2.31,NAN
12478,0.39,-0.12,0.93,-10.36,-33.32,2.38,NAN
12519,0.41,-0.13,0.86,-10.70,-32.77,2.64,NAN
12559,0.36,-0.08,0.89,-10.72,-32.38,2.48,NAN
12599,0.35,-0.14,0.86,-10.83,-31.67,2.55,NAN
12639,0.36,-0.14,0.86,-10.85,-31.08,2.05,NAN
12679,0.34,-0.13,0.87,-10.78,-30.88,2.17,NAN
12719,0.38,-0.12,0.87,-10.72,-30.48,2.43,NAN
12759,0.33,-0.10,0.88,-10.71,-30.41,2.54,NAN
12798,0.36,-0.11,0.88,-10.72,-30.40,2.57,NAN
12838,0.35,-0.12,0.89,-10.77,-30.43,2.56,NAN
12881,0.36,-0.12,0.88,-10.90,-30.42,2.55,NAN
12921,0.37,-0.14,0.88,-11.03,-30.18,2.62,NAN
12961,0.34,-0.11,0.90,-11.11,-29.94,2.71,NAN
13001,0.35,-0.13,0.88,-11.18,-29.74,2.79,NAN
13041,0.34,-0.12,0.88,-11.24,-29.65,2.82,NAN
13081,0.34,-0.13,0.89,-11.31,-29.66,2.87,NAN
13121,0.36,-0.13,0.87,-11.32,-29.69,2.89,NAN
13161,0.34,-0.13,0.87,-11.27,-29.66,2.92,NAN
13201,0.36,-0.14,0.88,-11.20,-29.66,2.99,NAN
13241,0.34,-0.12,0.88,-11.12,-29.57,3.10,NAN
13281,0.35,-0.12,0.88,-10.97,-29.53,3.15,NAN
13325,0.36,-0.14,0.88,-10.83,-29.58,3.16,NAN
13365,0.32,-0.10,0.88,-10.75,-29.48,3.25,NAN
13405,0.34,-0.12,0.88,-10.64,-29.48,3.29,NAN
13445,0.34,-0.13,0.88,-10.55,-29.54,3.29,NAN
13485,0.35,-0.13,0.87,-10.58,-29.44,3.39,NAN
13524,0.35,-0.12,0.89,-10.61,-29.43,3.42,NAN
13564,0.34,-0.10,0.90,-10.77,-29.41,3.49,NAN
13604,0.38,-0.13,0.85,-10.85,-29.39,3.45,NAN
13644,0.33,-0.11,0.89,-10.93,-29.33,3.54,NAN
13684,0.36,-0.13,0.87,-11.02,-29.54,3.51,NAN
13724,0.32,-0.13,0.91,-11.17,-29.30,3.64,NAN
13767,0.35,-0.13,0.88,-11.44,-29.20,3.63,NAN
13807,0.34,-0.11,0.88,-11.56,-29.12,3.54,NAN
13847,0.36,-0.15,0.87,-11.47,-29.12,3.50,NAN
13887,0.35,-0.14,0.85,-11.33,-29.14,3.57,NAN
13927,0.32,-0.10,0.90,-11.08,-29.30,3.61,NAN
13967,0.38,-0.12,0.86,-10.79,-29.52,3.52,NAN
14007,0.29,-0.12,0.91,-10.66,-29.66,3.41,NAN
14047,0.37,-0.11,0.89,-10.66,-29.56,3.37,NAN
14087,0.32,-0.16,0.86,-10.83,-29.50,3.43,NAN
14127,0.32,-0.10,0.89,-10.68,-29.51,3.40,NAN
14167,0.37,-0.11,0.88,-10.61,-29.63,3.46,NAN
14210,0.39,-0.12,0.85,-10.49,-29.71,3.44,NAN
14249,0.28,-0.14,0.92,-10.40,-29.49,3.58,NAN
14310,0.41,-0.12,0.83,-10.30,-29.29,3.78,NAN
14350,0.32,-0.12,0.91,-10.31,-29.54,3.84,NAN
14390,0.37,-0.14,0.88,-10.34,-29.47,4.03,NAN
14430,0.29,-0.13,0.88,-10.27,-29.64,4.14,NAN
14470,0.38,-0.11,0.90,-10.12,-29.87,4.14,NAN
14510,0.35,-0.15,0.87,-10.15,-29.70,4.35,NAN
14550,0.32,-0.12,0.89,-10.00,-29.75,4.36,NAN
14589,0.35,-0.13,0.89,-9.95,-29.68,4.60,NAN
14629,0.36,-0.11,0.86,-9.91,-29.66,4.67,NAN
14672,0.34,-0.11,0.88,-9.74,-29.62,4.64,NAN
14712,0.34,-0.13,0.89,-9.57,-29.66,4.73,NAN
14752,0.35,-0.12,0.88,-9.54,-29.73,4.90,NAN
14792,0.32,-0.11,0.87,-9.13,-29.74,4.88,NAN
14832,0.31,-0.08,0.93,-9.07,-29.77,4.80,NAN
14872,0.32,-0.13,0.91,-9.15,-29.86,4.74,NAN
14912,0.37,-0.12,0.89,-9.16,-29.76,4.59,NAN
14952,0.34,-0.09,0.89,-9.14,-29.82,4.40,NAN
14992,0.37,-0.16,0.86,-9.14,-29.91,4.28,NAN
15032,0.32,-0.10,0.89,-9.13,-30.07,4.19,NAN
