8638,0.71,-0.72,0.12,0.87,-0.32,-0.48,rash_turn
9775,0.71,-0.72,0.12,0.99,-0.24,-0.29,rash_turn
10897,0.71,-0.72,0.13,0.92,-0.29,-0.22,rash_turn
12019,0.71,-0.72,0.13,1.00,-0.33,-0.26,rash_turn
13143,0.71,-0.72,0.13,1.18,-0.42,-0.21,rash_turn
14265,0.71,-0.72,0.11,1.21,-0.40,-0.23,rash_turn
15387,0.71,-0.72,0.12,1.09,-0.32,-0.07,rash_turn
16509,0.71,-0.72,0.13,1.17,-0.29,-0.08,rash_turn
17632,0.72,-0.72,0.13,1.23,-0.27,-0.21,rash_turn
18754,0.72,-0.72,0.12,1.16,-0.14,-0.17,rash_turn
19876,0.71,-0.72,0.12,0.93,-0.10,-0.22,rash_turn
21002,0.72,-0.72,0.13,1.15,-0.10,-0.30,rash_turn
22124,0.71,-0.72,0.12,0.92,-0.46,-0.32,rash_turn
23246,0.71,-0.72,0.13,0.51,-0.60,-0.30,rash_turn
24370,0.71,-0.73,0.13,0.45,-0.80,-0.29,rash_turn
25492,0.72,-0.72,0.12,0.41,-0.77,-0.47,rash_turn
26614,0.72,-0.72,0.12,0.34,-0.61,-0.50,rash_turn
27737,0.71,-0.72,0.12,0.32,-0.57,-0.68,rash_turn
28859,0.71,-0.72,0.12,0.28,-0.47,-0.73,rash_turn
29981,0.71,-0.72,0.12,0.43,-0.33,-0.65,rash_turn
31104,0.71,-0.72,0.12,0.44,-0.37,-0.58,rash_turn
32229,0.71,-0.72,0.13,0.59,-0.43,-0.69,rash_turn
33351,0.71,-0.72,0.12,0.53,-0.39,-0.63,rash_turn
34475,0.71,-0.72,0.12,0.05,0.19,-0.81,rash_turn
35597,0.72,-0.72,0.13,0.03,0.20,-0.69,rash_turn
36719,0.71,-0.72,0.12,0.08,0.19,-0.72,rash_turn
37841,0.71,-0.72,0.12,0.16,0.16,-0.64,rash_turn
38964,0.71,-0.72,0.13,0.24,0.26,-0.69,rash_turn
40086,0.72,-0.72,0.13,0.23,0.27,-0.75,rash_turn
41208,0.71,-0.72,0.12,0.14,0.27,-0.74,rash_turn
42331,0.71,-0.72,0.12,0.21,0.40,-0.80,rash_turn
43456,0.71,-0.72,0.13,0.24,0.55,-0.74,rash_turn
44578,0.72,-0.72,0.13,0.23,0.49,-0.72,rash_turn
45701,0.72,-0.72,0.12,0.09,0.46,-0.82,rash_turn
46824,0.71,-0.72,0.12,0.26,0.47,-0.79,rash_turn
47946,0.72,-0.72,0.13,0.17,0.53,-0.79,rash_turn
49069,0.72,-0.72,0.13,0.13,0.56,-0.90,rash_turn
50191,0.71,-0.71,0.13,0.33,0.69,-0.91,rash_turn
51313,0.72,-0.72,0.12,0.25,0.68,-1.04,rash_turn
52435,0.71,-0.72,0.13,0.45,0.67,-1.07,rash_turn
53558,0.72,-0.72,0.13,0.35,0.59,-1.01,rash_turn
54680,0.71,-0.72,0.11,0.14,0.65,-1.04,rash_turn
55805,0.71,-0.72,0.13,0.10,0.75,-1.01,rash_turn
56928,0.71,-0.72,0.13,0.02,0.88,-0.87,rash_turn
58050,0.71,-0.72,0.13,-0.01,1.02,-0.76,rash_turn
59172,0.71,-0.72,0.12,-0.02,0.93,-0.60,rash_turn
60295,0.71,-0.72,0.14,-0.04,0.80,-0.73,rash_turn
61417,0.71,-0.72,0.13,0.02,0.93,-0.72,rash_turn
62539,0.71,-0.71,0.12,0.00,0.99,-0.75,rash_turn
63662,0.71,-0.72,0.13,0.12,1.05,-0.76,rash_turn
64785,0.72,-0.72,0.12,0.18,1.18,-0.77,rash_turn
65907,0.71,-0.72,0.13,0.11,1.26,-0.73,rash_turn
67033,0.72,-0.72,0.12,0.05,1.11,-0.74,rash_turn
68155,0.72,-0.72,0.13,0.01,1.26,-0.66,rash_turn
